Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000116754	SRSF11	79.0	117.0	231.0	76.0	65.0	77.0	239.0	71.0	112.0	141.0	27.0	43.0	38.0	118.0	213.0	152.0	17.0	106.0	152.0	91.0	45.0	25.0	94.0	91.0	154.0	73.0	148.0	145.0	107.0	80.0	136.0	179.0
ENSG00000117360	PRPF3	28.0	37.0	81.0	25.0	24.0	25.0	97.0	20.0	47.0	42.0	11.0	15.0	10.0	54.0	70.0	76.0	7.0	38.0	52.0	37.0	15.0	7.0	31.0	38.0	61.0	26.0	45.0	57.0	39.0	30.0	49.0	46.0
ENSG00000117614	SYF2	60.0	57.0	122.0	36.0	60.0	52.0	103.0	40.0	84.0	61.0	24.0	53.0	18.0	61.0	86.0	162.0	9.0	74.0	59.0	61.0	27.0	16.0	56.0	54.0	79.0	38.0	40.0	99.0	83.0	69.0	66.0	46.0
ENSG00000119203	CPSF3	20.0	24.0	32.0	27.0	31.0	21.0	38.0	32.0	36.0	32.0	8.0	21.0	14.0	27.0	49.0	24.0	5.0	34.0	26.0	33.0	9.0	5.0	22.0	38.0	33.0	22.0	119.0	46.0	58.0	36.0	40.0	37.0
ENSG00000119953	SMNDC1	19.0	25.0	51.0	20.0	20.0	17.0	39.0	28.0	27.0	30.0	9.0	15.0	12.0	26.0	34.0	29.0	3.0	35.0	26.0	20.0	8.0	9.0	20.0	27.0	31.0	18.0	30.0	32.0	29.0	29.0	36.0	24.0
ENSG00000120688	WBP4	42.0	48.0	32.0	53.0	22.0	25.0	76.0	31.0	30.0	34.0	28.0	21.0	18.0	39.0	43.0	49.0	5.0	36.0	48.0	21.0	12.0	26.0	29.0	49.0	30.0	18.0	43.0	46.0	28.0	33.0	32.0	32.0
ENSG00000122566	HNRNPA2B1	226.0	332.0	345.0	235.0	284.0	248.0	576.0	182.0	294.0	313.0	110.0	186.0	145.0	319.0	672.0	421.0	45.0	393.0	357.0	303.0	123.0	138.0	292.0	286.0	449.0	236.0	346.0	349.0	413.0	256.0	492.0	215.0
ENSG00000124193	SRSF6	130.0	218.0	317.0	123.0	117.0	138.0	367.0	98.0	262.0	218.0	48.0	95.0	66.0	187.0	268.0	328.0	36.0	204.0	301.0	162.0	94.0	23.0	145.0	209.0	234.0	128.0	167.0	266.0	154.0	162.0	214.0	196.0
ENSG00000124380	SNRNP27	37.0	50.0	47.0	62.0	27.0	22.0	61.0	33.0	46.0	52.0	28.0	20.0	15.0	40.0	58.0	45.0	6.0	56.0	48.0	30.0	17.0	22.0	27.0	37.0	39.0	21.0	36.0	66.0	42.0	39.0	45.0	25.0
ENSG00000124562	SNRPC	65.0	71.0	180.0	64.0	91.0	93.0	112.0	68.0	150.0	84.0	87.0	56.0	45.0	96.0	157.0	120.0	22.0	138.0	97.0	79.0	53.0	48.0	91.0	96.0	96.0	70.0	182.0	131.0	128.0	89.0	120.0	70.0
ENSG00000125351	UPF3B	15.0	19.0	19.0	29.0	18.0	22.0	39.0	20.0	27.0	23.0	6.0	14.0	9.0	23.0	39.0	32.0	3.0	25.0	27.0	22.0	8.0	6.0	18.0	23.0	28.0	16.0	25.0	34.0	32.0	22.0	31.0	31.0
ENSG00000125651	GTF2F1	51.0	55.0	114.0	111.0	58.0	59.0	106.0	57.0	130.0	71.0	25.0	57.0	21.0	79.0	89.0	194.0	17.0	81.0	86.0	45.0	48.0	14.0	65.0	67.0	93.0	55.0	137.0	124.0	61.0	66.0	76.0	54.0
ENSG00000125743	SNRPD2	94.0	115.0	187.0	91.0	130.0	80.0	162.0	79.0	231.0	102.0	61.0	81.0	43.0	121.0	249.0	292.0	18.0	164.0	142.0	120.0	58.0	44.0	87.0	150.0	164.0	83.0	137.0	135.0	222.0	123.0	167.0	83.0
ENSG00000125755	SYMPK	15.0	18.0	23.0	19.0	16.0	21.0	37.0	19.0	38.0	26.0	9.0	16.0	9.0	27.0	44.0	33.0	4.0	37.0	26.0	17.0	16.0	8.0	20.0	26.0	46.0	21.0	78.0	35.0	25.0	23.0	36.0	28.0
ENSG00000125835	SNRPB	65.0	94.0	338.0	44.0	78.0	122.0	172.0	169.0	191.0	142.0	37.0	29.0	26.0	129.0	285.0	138.0	20.0	175.0	123.0	101.0	67.0	20.0	103.0	156.0	176.0	101.0	133.0	141.0	217.0	149.0	177.0	186.0
ENSG00000125870	SNRPB2	48.0	56.0	82.0	53.0	52.0	40.0	89.0	42.0	64.0	62.0	22.0	55.0	28.0	55.0	99.0	75.0	7.0	74.0	51.0	48.0	24.0	12.0	43.0	64.0	61.0	35.0	58.0	77.0	74.0	62.0	94.0	30.0
ENSG00000125944	HNRNPR	37.0	56.0	62.0	64.0	56.0	43.0	118.0	52.0	79.0	66.0	21.0	33.0	22.0	68.0	104.0	99.0	9.0	98.0	68.0	62.0	20.0	11.0	51.0	78.0	73.0	44.0	54.0	96.0	90.0	66.0	99.0	55.0
ENSG00000126698	DNAJC8	82.0	96.0	127.0	102.0	69.0	67.0	155.0	85.0	132.0	113.0	46.0	70.0	43.0	110.0	170.0	132.0	9.0	150.0	110.0	92.0	37.0	19.0	69.0	143.0	126.0	58.0	81.0	158.0	163.0	127.0	128.0	76.0
ENSG00000126945	HNRNPH2	114.0	191.0	143.0	236.0	141.0	128.0	255.0	151.0	210.0	184.0	71.0	133.0	81.0	175.0	173.0	175.0	20.0	187.0	172.0	157.0	48.0	40.0	137.0	219.0	167.0	107.0	81.0	230.0	194.0	185.0	218.0	135.0
ENSG00000128534	LSM8	11.0	13.0	32.0	11.0	16.0	17.0	26.0	11.0	18.0	18.0	5.0	8.0	5.0	17.0	33.0	18.0	2.0	19.0	22.0	19.0	7.0	3.0	16.0	16.0	28.0	17.0	15.0	22.0	30.0	15.0	33.0	18.0
ENSG00000128739	SNRPN	6.0	29.0	6.0	63.0	7.0	6.0	20.0	12.0	39.0	62.0	51.0	20.0	4.0	16.0	22.0	36.0	4.0	8.0	35.0	8.0	15.0	7.0	6.0	20.0	16.0	7.0	16.0	122.0	16.0	19.0	9.0	8.0
ENSG00000130332	LSM7	16.0	25.0	68.0	25.0	47.0	44.0	24.0	14.0	37.0	24.0	6.0	19.0	13.0	32.0	74.0	49.0	5.0	47.0	36.0	25.0	14.0	8.0	39.0	20.0	71.0	39.0	28.0	19.0	43.0	20.0	63.0	21.0
ENSG00000130520	LSM4	17.0	41.0	44.0	36.0	43.0	36.0	26.0	21.0	42.0	20.0	15.0	32.0	14.0	34.0	47.0	26.0	5.0	43.0	34.0	36.0	15.0	17.0	41.0	25.0	52.0	40.0	75.0	40.0	35.0	26.0	41.0	25.0
ENSG00000131013	PPIL4	36.0	59.0	59.0	41.0	47.0	31.0	86.0	36.0	53.0	66.0	17.0	37.0	30.0	49.0	53.0	74.0	8.0	65.0	59.0	41.0	19.0	5.0	34.0	54.0	51.0	38.0	58.0	98.0	46.0	54.0	56.0	33.0
